raceId,driverId,driverRef,circuitId,circuit_name,season,round,grid,position,positions_gained,driver_avg_finish_last5,driver_dnf_rate_last5,driver_circuit_avg_finish,driver_circuit_race_count,age
162,23,ralf_schumacher,4,Circuit de Barcelona-Catalunya,2000,5,5,4,1,6.6,0.2,10.727272727272727,11,25
163,23,ralf_schumacher,20,Nürburgring,2000,6,5,18,-13,9.6,0.4,12.636363636363637,11,25
164,23,ralf_schumacher,6,Circuit de Monaco,2000,7,9,14,-5,11.4,0.6,10.272727272727273,11,25
165,23,ralf_schumacher,7,Circuit Gilles Villeneuve,2000,8,12,14,-2,10.8,0.4,10.181818181818182,11,25
166,23,ralf_schumacher,8,Circuit de Nevers Magny-Cours,2000,9,5,5,0,11.0,0.4,6.0,10,25
167,23,ralf_schumacher,70,Red Bull Ring,2000,10,19,14,5,13.0,0.6,10.714285714285714,7,25
168,23,ralf_schumacher,10,Hockenheimring,2000,11,14,7,7,10.8,0.4,6.333333333333333,9,25
169,23,ralf_schumacher,11,Hungaroring,2000,12,4,5,-1,9.0,0.2,5.4,10,25
170,23,ralf_schumacher,13,Circuit de Spa-Francorchamps,2000,13,6,3,3,6.8,0.2,7.125,8,25
171,23,ralf_schumacher,14,Autodromo Nazionale di Monza,2000,14,7,3,4,6.4,0.2,9.222222222222221,9,25
172,23,ralf_schumacher,19,Indianapolis Motor Speedway,2000,15,10,15,-5,6.6,0.2,16.714285714285715,7,25
173,23,ralf_schumacher,22,Suzuka Circuit,2000,16,6,17,-11,8.6,0.4,9.7,10,25
174,23,ralf_schumacher,2,Sepang International Circuit,2000,17,8,16,-8,10.8,0.6,10.0,9,25
141,23,ralf_schumacher,1,Albert Park Grand Prix Circuit,2001,1,5,18,-13,13.8,0.8,10.181818181818182,11,26
142,23,ralf_schumacher,2,Sepang International Circuit,2001,2,3,5,-2,14.2,0.8,10.0,9,26
143,23,ralf_schumacher,18,Autódromo José Carlos Pace,2001,3,2,13,-11,13.8,0.8,10.545454545454545,11,26
144,23,ralf_schumacher,21,Autodromo Enzo e Dino Ferrari,2001,4,3,1,2,10.6,0.6,9.1,10,26
145,23,ralf_schumacher,4,Circuit de Barcelona-Catalunya,2001,5,5,19,-14,11.2,0.6,10.727272727272727,11,26
146,23,ralf_schumacher,70,Red Bull Ring,2001,6,3,19,-16,11.4,0.6,10.714285714285714,7,26
147,23,ralf_schumacher,6,Circuit de Monaco,2001,7,5,11,-6,12.6,0.8,10.272727272727273,11,26
148,23,ralf_schumacher,7,Circuit Gilles Villeneuve,2001,8,2,1,1,10.2,0.6,10.181818181818182,11,26
149,23,ralf_schumacher,20,Nürburgring,2001,9,2,4,-2,10.8,0.6,12.636363636363637,11,26
150,23,ralf_schumacher,8,Circuit de Nevers Magny-Cours,2001,10,1,2,-1,7.4,0.4,6.0,10,26
151,23,ralf_schumacher,9,Silverstone Circuit,2001,11,10,17,-7,7.0,0.4,10.1,10,26
152,23,ralf_schumacher,10,Hockenheimring,2001,12,2,1,1,5.0,0.2,6.333333333333333,9,26
153,23,ralf_schumacher,11,Hungaroring,2001,13,4,4,0,5.6,0.2,5.4,10,26
154,23,ralf_schumacher,13,Circuit de Spa-Francorchamps,2001,14,2,7,-5,6.2,0.2,7.125,8,26
155,23,ralf_schumacher,14,Autodromo Nazionale di Monza,2001,15,4,3,1,6.4,0.2,9.222222222222221,9,26
156,23,ralf_schumacher,19,Indianapolis Motor Speedway,2001,16,2,20,-18,7.0,0.2,16.714285714285715,7,26
157,23,ralf_schumacher,22,Suzuka Circuit,2001,17,3,6,-3,8.0,0.2,9.7,10,26
124,23,ralf_schumacher,1,Albert Park Grand Prix Circuit,2002,1,3,16,-13,10.4,0.4,10.181818181818182,11,27
125,23,ralf_schumacher,2,Sepang International Circuit,2002,2,4,1,3,9.2,0.4,10.0,9,27
126,23,ralf_schumacher,18,Autódromo José Carlos Pace,2002,3,3,2,1,9.0,0.4,10.545454545454545,11,27
127,23,ralf_schumacher,21,Autodromo Enzo e Dino Ferrari,2002,4,3,3,0,5.6,0.2,9.1,10,27
128,23,ralf_schumacher,4,Circuit de Barcelona-Catalunya,2002,5,3,11,-8,6.6,0.2,10.727272727272727,11,27
129,23,ralf_schumacher,70,Red Bull Ring,2002,6,2,4,-2,4.2,0.0,10.714285714285714,7,27
130,23,ralf_schumacher,6,Circuit de Monaco,2002,7,4,3,1,4.6,0.0,10.272727272727273,11,27
131,23,ralf_schumacher,7,Circuit Gilles Villeneuve,2002,8,4,7,-3,5.6,0.0,10.181818181818182,11,27
132,23,ralf_schumacher,20,Nürburgring,2002,9,2,4,-2,5.8,0.0,12.636363636363637,11,27
133,23,ralf_schumacher,9,Silverstone Circuit,2002,10,4,8,-4,5.2,0.0,10.1,10,27
134,23,ralf_schumacher,8,Circuit de Nevers Magny-Cours,2002,11,5,5,0,5.4,0.0,6.0,10,27
135,23,ralf_schumacher,10,Hockenheimring,2002,12,2,3,-1,5.4,0.0,6.333333333333333,9,27
136,23,ralf_schumacher,11,Hungaroring,2002,13,3,3,0,4.6,0.0,5.4,10,27
137,23,ralf_schumacher,13,Circuit de Spa-Francorchamps,2002,14,4,5,-1,4.8,0.0,7.125,8,27
138,23,ralf_schumacher,14,Autodromo Nazionale di Monza,2002,15,3,20,-17,7.2,0.2,9.222222222222221,9,27
139,23,ralf_schumacher,19,Indianapolis Motor Speedway,2002,16,5,16,-11,9.4,0.2,16.714285714285715,7,27
140,23,ralf_schumacher,22,Suzuka Circuit,2002,17,5,11,-6,11.0,0.2,9.7,10,27
108,23,ralf_schumacher,1,Albert Park Grand Prix Circuit,2003,1,9,8,1,12.0,0.2,10.181818181818182,11,28
109,23,ralf_schumacher,2,Sepang International Circuit,2003,2,17,4,13,11.8,0.2,10.0,9,28
110,23,ralf_schumacher,18,Autódromo José Carlos Pace,2003,3,6,7,-1,9.2,0.0,10.545454545454545,11,28
111,23,ralf_schumacher,21,Autodromo Enzo e Dino Ferrari,2003,4,2,4,-2,6.8,0.0,9.1,10,28
112,23,ralf_schumacher,4,Circuit de Barcelona-Catalunya,2003,5,7,5,2,5.6,0.0,10.727272727272727,11,28
113,23,ralf_schumacher,70,Red Bull Ring,2003,6,10,6,4,5.2,0.0,10.714285714285714,7,28
114,23,ralf_schumacher,6,Circuit de Monaco,2003,7,1,4,-3,5.2,0.0,10.272727272727273,11,28
115,23,ralf_schumacher,7,Circuit Gilles Villeneuve,2003,8,1,2,-1,4.2,0.0,10.181818181818182,11,28
116,23,ralf_schumacher,20,Nürburgring,2003,9,3,1,2,3.6,0.0,12.636363636363637,11,28
117,23,ralf_schumacher,8,Circuit de Nevers Magny-Cours,2003,10,1,1,0,2.8,0.0,6.0,10,28
118,23,ralf_schumacher,9,Silverstone Circuit,2003,11,4,9,-5,3.4,0.0,10.1,10,28
119,23,ralf_schumacher,10,Hockenheimring,2003,12,2,16,-14,5.8,0.2,6.333333333333333,9,28
120,23,ralf_schumacher,11,Hungaroring,2003,13,2,4,-2,6.2,0.2,5.4,10,28
122,23,ralf_schumacher,19,Indianapolis Motor Speedway,2003,15,5,19,-14,9.8,0.4,16.714285714285715,7,28
123,23,ralf_schumacher,22,Suzuka Circuit,2003,16,19,12,7,12.0,0.4,9.7,10,28
90,23,ralf_schumacher,1,Albert Park Grand Prix Circuit,2004,1,8,4,4,11.0,0.4,10.181818181818182,11,29
91,23,ralf_schumacher,2,Sepang International Circuit,2004,2,7,19,-12,11.6,0.4,10.0,9,29
92,23,ralf_schumacher,3,Bahrain International Circuit,2004,3,4,7,-3,12.2,0.4,9.25,4,29
93,23,ralf_schumacher,21,Autodromo Enzo e Dino Ferrari,2004,4,5,7,-2,9.8,0.2,9.1,10,29
94,23,ralf_schumacher,4,Circuit de Barcelona-Catalunya,2004,5,6,6,0,8.6,0.2,10.727272727272727,11,29
95,23,ralf_schumacher,6,Circuit de Monaco,2004,6,12,10,2,9.8,0.2,10.272727272727273,11,29
96,23,ralf_schumacher,20,Nürburgring,2004,7,9,19,-10,9.8,0.2,12.636363636363637,11,29
97,23,ralf_schumacher,7,Circuit Gilles Villeneuve,2004,8,1,17,-16,11.8,0.4,10.181818181818182,11,29
98,23,ralf_schumacher,19,Indianapolis Motor Speedway,2004,9,6,15,-9,13.4,0.6,16.714285714285715,7,29
105,23,ralf_schumacher,17,Shanghai International Circuit,2004,16,5,18,-13,15.8,0.8,14.5,4,29
106,23,ralf_schumacher,22,Suzuka Circuit,2004,17,2,2,0,14.2,0.8,9.7,10,29
107,23,ralf_schumacher,18,Autódromo José Carlos Pace,2004,18,7,5,2,11.4,0.6,10.545454545454545,11,29
71,23,ralf_schumacher,1,Albert Park Grand Prix Circuit,2005,1,15,12,3,10.4,0.4,10.181818181818182,11,30
72,23,ralf_schumacher,2,Sepang International Circuit,2005,2,5,5,0,8.4,0.2,10.0,9,30
73,23,ralf_schumacher,3,Bahrain International Circuit,2005,3,6,4,2,5.6,0.0,9.25,4,30
74,23,ralf_schumacher,21,Autodromo Enzo e Dino Ferrari,2005,4,10,9,1,7.0,0.0,9.1,10,30
75,23,ralf_schumacher,4,Circuit de Barcelona-Catalunya,2005,5,4,4,0,6.8,0.0,10.727272727272727,11,30
76,23,ralf_schumacher,6,Circuit de Monaco,2005,6,18,6,12,5.6,0.0,10.272727272727273,11,30
77,23,ralf_schumacher,20,Nürburgring,2005,7,8,19,-11,8.4,0.2,12.636363636363637,11,30
78,23,ralf_schumacher,7,Circuit Gilles Villeneuve,2005,8,10,6,4,8.8,0.2,10.181818181818182,11,30
80,23,ralf_schumacher,8,Circuit de Nevers Magny-Cours,2005,10,11,7,4,8.4,0.2,6.0,10,30
81,23,ralf_schumacher,9,Silverstone Circuit,2005,11,8,8,0,9.2,0.2,10.1,10,30
82,23,ralf_schumacher,10,Hockenheimring,2005,12,12,6,6,9.2,0.2,6.333333333333333,9,30
83,23,ralf_schumacher,11,Hungaroring,2005,13,5,3,2,6.0,0.0,5.4,10,30
84,23,ralf_schumacher,5,Istanbul Park,2005,14,9,12,-3,7.2,0.0,10.333333333333334,3,30
85,23,ralf_schumacher,14,Autodromo Nazionale di Monza,2005,15,9,6,3,7.0,0.0,9.222222222222221,9,30
86,23,ralf_schumacher,13,Circuit de Spa-Francorchamps,2005,16,5,7,-2,6.8,0.0,7.125,8,30
87,23,ralf_schumacher,18,Autódromo José Carlos Pace,2005,17,10,8,2,7.2,0.0,10.545454545454545,11,30
88,23,ralf_schumacher,22,Suzuka Circuit,2005,18,1,8,-7,8.2,0.0,9.7,10,30
89,23,ralf_schumacher,17,Shanghai International Circuit,2005,19,9,3,6,6.4,0.0,14.5,4,30
53,23,ralf_schumacher,3,Bahrain International Circuit,2006,1,17,14,3,8.0,0.0,9.25,4,31
54,23,ralf_schumacher,2,Sepang International Circuit,2006,2,22,8,14,8.2,0.0,10.0,9,31
55,23,ralf_schumacher,1,Albert Park Grand Prix Circuit,2006,3,6,3,3,7.2,0.0,10.181818181818182,11,31
56,23,ralf_schumacher,21,Autodromo Enzo e Dino Ferrari,2006,4,6,9,-3,7.4,0.0,9.1,10,31
57,23,ralf_schumacher,20,Nürburgring,2006,5,10,14,-4,9.6,0.2,12.636363636363637,11,31
58,23,ralf_schumacher,4,Circuit de Barcelona-Catalunya,2006,6,6,20,-14,10.8,0.4,10.727272727272727,11,31
59,23,ralf_schumacher,6,Circuit de Monaco,2006,7,10,8,2,10.8,0.4,10.272727272727273,11,31
60,23,ralf_schumacher,9,Silverstone Circuit,2006,8,7,21,-14,14.4,0.6,10.1,10,31
61,23,ralf_schumacher,7,Circuit Gilles Villeneuve,2006,9,14,17,-3,16.0,0.8,10.181818181818182,11,31
62,23,ralf_schumacher,19,Indianapolis Motor Speedway,2006,10,8,10,-2,15.2,0.8,16.714285714285715,7,31
63,23,ralf_schumacher,8,Circuit de Nevers Magny-Cours,2006,11,5,4,1,12.0,0.6,6.0,10,31
64,23,ralf_schumacher,10,Hockenheimring,2006,12,8,9,-1,12.2,0.6,6.333333333333333,9,31
65,23,ralf_schumacher,11,Hungaroring,2006,13,6,6,0,9.2,0.4,5.4,10,31
66,23,ralf_schumacher,5,Istanbul Park,2006,14,15,7,8,7.2,0.2,10.333333333333334,3,31
67,23,ralf_schumacher,14,Autodromo Nazionale di Monza,2006,15,13,15,-2,8.2,0.0,9.222222222222221,9,31
68,23,ralf_schumacher,17,Shanghai International Circuit,2006,16,16,17,-1,10.8,0.2,14.5,4,31
69,23,ralf_schumacher,22,Suzuka Circuit,2006,17,3,7,-4,10.4,0.2,9.7,10,31
70,23,ralf_schumacher,18,Autódromo José Carlos Pace,2006,18,7,20,-13,13.2,0.4,10.545454545454545,11,31
36,23,ralf_schumacher,1,Albert Park Grand Prix Circuit,2007,1,9,8,1,13.4,0.4,10.181818181818182,11,32
37,23,ralf_schumacher,2,Sepang International Circuit,2007,2,9,15,-6,13.4,0.4,10.0,9,32
38,23,ralf_schumacher,3,Bahrain International Circuit,2007,3,14,12,2,12.4,0.2,9.25,4,32
39,23,ralf_schumacher,4,Circuit de Barcelona-Catalunya,2007,4,17,16,1,14.2,0.4,10.727272727272727,11,32
40,23,ralf_schumacher,6,Circuit de Monaco,2007,5,20,16,4,13.4,0.2,10.272727272727273,11,32
41,23,ralf_schumacher,7,Circuit Gilles Villeneuve,2007,6,18,8,10,13.4,0.2,10.181818181818182,11,32
42,23,ralf_schumacher,19,Indianapolis Motor Speedway,2007,7,12,22,-10,14.8,0.4,16.714285714285715,7,32
43,23,ralf_schumacher,8,Circuit de Nevers Magny-Cours,2007,8,11,10,1,14.4,0.4,6.0,10,32
44,23,ralf_schumacher,9,Silverstone Circuit,2007,9,6,20,-14,15.2,0.4,10.1,10,32
45,23,ralf_schumacher,20,Nürburgring,2007,10,9,16,-7,15.2,0.6,12.636363636363637,11,32
46,23,ralf_schumacher,11,Hungaroring,2007,11,5,6,-1,14.8,0.6,5.4,10,32
47,23,ralf_schumacher,5,Istanbul Park,2007,12,16,12,4,12.8,0.4,10.333333333333334,3,32
48,23,ralf_schumacher,14,Autodromo Nazionale di Monza,2007,13,18,15,3,13.8,0.4,9.222222222222221,9,32
49,23,ralf_schumacher,13,Circuit de Spa-Francorchamps,2007,14,10,10,0,11.8,0.2,7.125,8,32
50,23,ralf_schumacher,16,Fuji Speedway,2007,15,15,16,-1,11.8,0.2,16.0,1,32
51,23,ralf_schumacher,17,Shanghai International Circuit,2007,16,6,20,-14,14.6,0.4,14.5,4,32
52,23,ralf_schumacher,18,Autódromo José Carlos Pace,2007,17,15,11,4,14.4,0.4,10.545454545454545,11,32
74,24,liuzzi,21,Autodromo Enzo e Dino Ferrari,2005,4,15,8,7,8.0,0.0,11.0,2,25
75,24,liuzzi,4,Circuit de Barcelona-Catalunya,2005,5,11,18,-7,13.0,0.5,17.8,5,25
76,24,liuzzi,6,Circuit de Monaco,2005,6,12,15,-3,13.666666666666666,0.6666666666666666,14.4,5,25
77,24,liuzzi,20,Nürburgring,2005,7,14,9,5,12.5,0.5,18.5,4,25
53,24,liuzzi,3,Bahrain International Circuit,2006,1,15,11,4,12.2,0.4,13.333333333333334,3,26
54,24,liuzzi,2,Sepang International Circuit,2006,2,13,11,2,12.8,0.4,16.5,4,26
55,24,liuzzi,1,Albert Park Grand Prix Circuit,2006,3,12,16,-4,12.4,0.4,15.0,4,26
56,24,liuzzi,21,Autodromo Enzo e Dino Ferrari,2006,4,16,14,2,12.2,0.2,11.0,2,26
57,24,liuzzi,20,Nürburgring,2006,5,14,22,-8,14.8,0.4,18.5,4,26
58,24,liuzzi,4,Circuit de Barcelona-Catalunya,2006,6,15,15,0,15.6,0.4,17.8,5,26
59,24,liuzzi,6,Circuit de Monaco,2006,7,12,10,2,15.4,0.4,14.4,5,26
60,24,liuzzi,9,Silverstone Circuit,2006,8,13,13,0,14.8,0.2,14.5,4,26
61,24,liuzzi,7,Circuit Gilles Villeneuve,2006,9,15,13,2,14.6,0.2,12.25,4,26
62,24,liuzzi,19,Indianapolis Motor Speedway,2006,10,20,8,12,11.8,0.0,12.5,2,26
63,24,liuzzi,8,Circuit de Nevers Magny-Cours,2006,11,22,13,9,11.4,0.0,17.5,2,26
64,24,liuzzi,10,Hockenheimring,2006,12,16,10,6,11.4,0.0,13.0,2,26
65,24,liuzzi,11,Hungaroring,2006,13,17,16,1,12.0,0.2,17.0,4,26
66,24,liuzzi,5,Istanbul Park,2006,14,18,20,-2,13.4,0.4,17.5,4,26
67,24,liuzzi,14,Autodromo Nazionale di Monza,2006,15,17,14,3,14.6,0.4,16.8,5,26
68,24,liuzzi,17,Shanghai International Circuit,2006,16,13,10,3,14.0,0.4,15.25,4,26
69,24,liuzzi,22,Suzuka Circuit,2006,17,15,14,1,14.8,0.4,18.5,4,26
70,24,liuzzi,18,Autódromo José Carlos Pace,2006,18,15,13,2,14.2,0.2,16.6,5,26
36,24,liuzzi,1,Albert Park Grand Prix Circuit,2007,1,19,14,5,13.0,0.0,15.0,4,27
37,24,liuzzi,2,Sepang International Circuit,2007,2,16,17,-1,13.6,0.0,16.5,4,27
38,24,liuzzi,3,Bahrain International Circuit,2007,3,18,20,-2,15.6,0.2,13.333333333333334,3,27
39,24,liuzzi,4,Circuit de Barcelona-Catalunya,2007,4,16,17,-1,16.2,0.4,17.8,5,27
40,24,liuzzi,6,Circuit de Monaco,2007,5,12,22,-10,18.0,0.6,14.4,5,27
41,24,liuzzi,7,Circuit Gilles Villeneuve,2007,6,12,14,-2,18.0,0.8,12.25,4,27
42,24,liuzzi,19,Indianapolis Motor Speedway,2007,7,19,17,2,18.0,0.8,12.5,2,27
43,24,liuzzi,8,Circuit de Nevers Magny-Cours,2007,8,17,22,-5,18.4,0.8,17.5,2,27
44,24,liuzzi,9,Silverstone Circuit,2007,9,16,16,0,18.2,0.6,14.5,4,27
45,24,liuzzi,20,Nürburgring,2007,10,19,22,-3,18.2,0.6,18.5,4,27
46,24,liuzzi,11,Hungaroring,2007,11,16,19,-3,19.2,0.6,17.0,4,27
47,24,liuzzi,5,Istanbul Park,2007,12,15,15,0,18.8,0.6,17.5,4,27
48,24,liuzzi,14,Autodromo Nazionale di Monza,2007,13,19,17,2,17.8,0.4,16.8,5,27
49,24,liuzzi,13,Circuit de Spa-Francorchamps,2007,14,13,12,1,17.0,0.4,13.666666666666666,3,27
50,24,liuzzi,16,Fuji Speedway,2007,15,14,9,5,14.4,0.2,9.0,1,27
51,24,liuzzi,17,Shanghai International Circuit,2007,16,11,6,5,11.8,0.0,15.25,4,27
52,24,liuzzi,18,Autódromo José Carlos Pace,2007,17,14,13,1,11.4,0.0,16.6,5,27
13,24,liuzzi,14,Autodromo Nazionale di Monza,2009,13,7,17,-10,11.4,0.2,16.8,5,29
14,24,liuzzi,15,Marina Bay Street Circuit,2009,14,19,14,5,11.8,0.2,19.333333333333332,3,29
15,24,liuzzi,22,Suzuka Circuit,2009,15,18,14,4,12.8,0.2,18.5,4,29
16,24,liuzzi,18,Autódromo José Carlos Pace,2009,16,20,12,8,14.0,0.2,16.6,5,29
17,24,liuzzi,24,Yas Marina Circuit,2009,17,16,15,1,14.4,0.2,19.666666666666668,3,29
337,24,liuzzi,3,Bahrain International Circuit,2010,1,12,9,3,12.8,0.0,13.333333333333334,3,30
338,24,liuzzi,1,Albert Park Grand Prix Circuit,2010,2,13,7,6,11.4,0.0,15.0,4,30
339,24,liuzzi,2,Sepang International Circuit,2010,3,10,20,-10,12.6,0.2,16.5,4,30
340,24,liuzzi,17,Shanghai International Circuit,2010,4,18,23,-5,14.8,0.4,15.25,4,30
341,24,liuzzi,4,Circuit de Barcelona-Catalunya,2010,5,16,15,1,14.8,0.4,17.8,5,30
342,24,liuzzi,6,Circuit de Monaco,2010,6,10,9,1,14.8,0.4,14.4,5,30
343,24,liuzzi,5,Istanbul Park,2010,7,18,13,5,16.0,0.4,17.5,4,30
344,24,liuzzi,7,Circuit Gilles Villeneuve,2010,8,5,9,-4,13.8,0.2,12.25,4,30
345,24,liuzzi,12,Valencia Street Circuit,2010,9,14,16,-2,12.4,0.0,19.5,2,30
346,24,liuzzi,9,Silverstone Circuit,2010,10,20,11,9,11.6,0.0,14.5,4,30
347,24,liuzzi,10,Hockenheimring,2010,11,21,16,5,13.0,0.0,13.0,2,30
348,24,liuzzi,11,Hungaroring,2010,12,16,13,3,13.0,0.0,17.0,4,30
349,24,liuzzi,13,Circuit de Spa-Francorchamps,2010,13,12,10,2,13.2,0.0,13.666666666666666,3,30
350,24,liuzzi,14,Autodromo Nazionale di Monza,2010,14,19,12,7,12.4,0.0,16.8,5,30
351,24,liuzzi,15,Marina Bay Street Circuit,2010,15,16,24,-8,15.0,0.2,19.333333333333332,3,30
352,24,liuzzi,22,Suzuka Circuit,2010,16,17,23,-6,16.4,0.4,18.5,4,30
353,24,liuzzi,35,Korean International Circuit,2010,17,17,6,11,15.0,0.4,13.5,2,30
354,24,liuzzi,18,Autódromo José Carlos Pace,2010,18,16,24,-8,17.8,0.6,16.6,5,30
355,24,liuzzi,24,Yas Marina Circuit,2010,19,16,24,-8,20.2,0.8,19.666666666666668,3,30
841,24,liuzzi,1,Albert Park Grand Prix Circuit,2011,1,0,23,-23,20.0,0.8,15.0,4,31
842,24,liuzzi,2,Sepang International Circuit,2011,2,23,18,5,19.0,0.8,16.5,4,31
843,24,liuzzi,17,Shanghai International Circuit,2011,3,23,22,1,22.2,0.8,15.25,4,31
844,24,liuzzi,5,Istanbul Park,2011,4,20,22,-2,21.8,0.6,17.5,4,31
845,24,liuzzi,4,Circuit de Barcelona-Catalunya,2011,5,21,24,-3,21.8,0.6,17.8,5,31
846,24,liuzzi,6,Circuit de Monaco,2011,6,23,16,7,20.4,0.4,14.4,5,31
847,24,liuzzi,7,Circuit Gilles Villeneuve,2011,7,20,13,7,19.4,0.2,12.25,4,31
848,24,liuzzi,12,Valencia Street Circuit,2011,8,22,23,-1,19.6,0.2,19.5,2,31
849,24,liuzzi,9,Silverstone Circuit,2011,9,23,18,5,18.8,0.2,14.5,4,31
850,24,liuzzi,20,Nürburgring,2011,10,23,21,2,18.2,0.2,18.5,4,31
851,24,liuzzi,11,Hungaroring,2011,11,21,20,1,19.0,0.2,17.0,4,31
852,24,liuzzi,13,Circuit de Spa-Francorchamps,2011,12,22,19,3,20.2,0.2,13.666666666666666,3,31
853,24,liuzzi,14,Autodromo Nazionale di Monza,2011,13,24,24,0,20.4,0.4,16.8,5,31
854,24,liuzzi,15,Marina Bay Street Circuit,2011,14,24,20,4,20.8,0.4,19.333333333333332,3,31
855,24,liuzzi,22,Suzuka Circuit,2011,15,24,23,1,21.2,0.2,18.5,4,31
856,24,liuzzi,35,Korean International Circuit,2011,16,23,21,2,21.4,0.2,13.5,2,31
858,24,liuzzi,24,Yas Marina Circuit,2011,18,22,20,2,21.6,0.2,19.666666666666668,3,31
859,24,liuzzi,18,Autódromo José Carlos Pace,2011,19,21,21,0,21.0,0.2,16.6,5,31
213,25,wurz,7,Circuit Gilles Villeneuve,1997,7,11,14,-3,14.0,1.0,10.4,5,23
214,25,wurz,8,Circuit de Nevers Magny-Cours,1997,8,7,14,-7,14.0,1.0,13.4,5,23
215,25,wurz,9,Silverstone Circuit,1997,9,8,3,5,10.333333333333334,0.6666666666666666,7.8,5,23
191,25,wurz,1,Albert Park Grand Prix Circuit,1998,1,11,7,4,9.5,0.5,10.75,4,24
192,25,wurz,18,Autódromo José Carlos Pace,1998,2,5,4,1,8.4,0.4,10.333333333333334,3,24
193,25,wurz,25,Autódromo Juan y Oscar Gálvez,1998,3,8,4,4,6.4,0.2,4.0,1,24
194,25,wurz,21,Autodromo Enzo e Dino Ferrari,1998,4,5,19,-14,7.4,0.2,12.75,4,24
195,25,wurz,4,Circuit de Barcelona-Catalunya,1998,5,5,4,1,7.6,0.2,11.5,4,24
196,25,wurz,6,Circuit de Monaco,1998,6,6,16,-10,9.4,0.4,12.25,4,24
197,25,wurz,7,Circuit Gilles Villeneuve,1998,7,11,4,7,9.4,0.4,10.4,5,24
198,25,wurz,8,Circuit de Nevers Magny-Cours,1998,8,10,5,5,9.6,0.4,13.4,5,24
199,25,wurz,9,Silverstone Circuit,1998,9,11,4,7,6.6,0.2,7.8,5,24
200,25,wurz,70,Red Bull Ring,1998,10,17,9,8,7.6,0.2,8.0,3,24
201,25,wurz,10,Hockenheimring,1998,11,7,11,-4,6.6,0.0,11.666666666666666,3,24
202,25,wurz,11,Hungaroring,1998,12,9,16,-7,9.0,0.2,12.0,4,24
203,25,wurz,13,Circuit de Spa-Francorchamps,1998,13,11,17,-6,11.4,0.4,15.75,4,24
204,25,wurz,14,Autodromo Nazionale di Monza,1998,14,7,17,-10,14.0,0.6,13.5,4,24
205,25,wurz,20,Nürburgring,1998,15,8,7,1,13.6,0.6,11.0,4,24
206,25,wurz,22,Suzuka Circuit,1998,16,9,9,0,13.2,0.6,12.666666666666666,3,24
175,25,wurz,1,Albert Park Grand Prix Circuit,1999,1,10,11,-1,12.2,0.6,10.75,4,25
176,25,wurz,18,Autódromo José Carlos Pace,1999,2,9,7,2,10.2,0.4,10.333333333333334,3,25
177,25,wurz,21,Autodromo Enzo e Dino Ferrari,1999,3,17,20,-3,10.8,0.4,12.75,4,25
178,25,wurz,6,Circuit de Monaco,1999,4,10,6,4,10.6,0.4,12.25,4,25
179,25,wurz,4,Circuit de Barcelona-Catalunya,1999,5,18,10,8,10.8,0.4,11.5,4,25
180,25,wurz,7,Circuit Gilles Villeneuve,1999,6,11,22,-11,13.0,0.4,10.4,5,25
181,25,wurz,8,Circuit de Nevers Magny-Cours,1999,7,13,16,-3,14.8,0.6,13.4,5,25
182,25,wurz,9,Silverstone Circuit,1999,8,18,10,8,12.8,0.4,7.8,5,25
183,25,wurz,70,Red Bull Ring,1999,9,10,5,5,12.6,0.4,8.0,3,25
184,25,wurz,10,Hockenheimring,1999,10,13,7,6,12.0,0.4,11.666666666666666,3,25
185,25,wurz,11,Hungaroring,1999,11,7,7,0,9.0,0.2,12.0,4,25
186,25,wurz,13,Circuit de Spa-Francorchamps,1999,12,15,14,1,8.6,0.0,15.75,4,25
187,25,wurz,14,Autodromo Nazionale di Monza,1999,13,14,19,-5,10.4,0.2,13.5,4,25
188,25,wurz,20,Nürburgring,1999,14,11,21,-10,13.6,0.4,11.0,4,25
189,25,wurz,2,Sepang International Circuit,1999,15,7,8,-1,13.8,0.4,8.0,3,25
190,25,wurz,22,Suzuka Circuit,1999,16,15,10,5,14.4,0.4,12.666666666666666,3,25
158,25,wurz,1,Albert Park Grand Prix Circuit,2000,1,14,7,7,13.0,0.4,10.75,4,26
159,25,wurz,18,Autódromo José Carlos Pace,2000,2,13,20,-7,13.2,0.4,10.333333333333334,3,26
160,25,wurz,21,Autodromo Enzo e Dino Ferrari,2000,3,11,9,2,10.8,0.2,12.75,4,26
161,25,wurz,9,Silverstone Circuit,2000,4,20,9,11,11.0,0.2,7.8,5,26
162,25,wurz,4,Circuit de Barcelona-Catalunya,2000,5,18,10,8,11.0,0.2,11.5,4,26
163,25,wurz,20,Nürburgring,2000,6,14,12,2,12.0,0.2,11.0,4,26
164,25,wurz,6,Circuit de Monaco,2000,7,12,20,-8,12.0,0.2,12.25,4,26
165,25,wurz,7,Circuit Gilles Villeneuve,2000,8,14,9,5,12.0,0.2,10.4,5,26
166,25,wurz,8,Circuit de Nevers Magny-Cours,2000,9,17,18,-1,13.8,0.4,13.4,5,26
167,25,wurz,70,Red Bull Ring,2000,10,14,10,4,13.8,0.4,8.0,3,26
168,25,wurz,10,Hockenheimring,2000,11,7,17,-10,14.8,0.6,11.666666666666666,3,26
169,25,wurz,11,Hungaroring,2000,12,11,11,0,13.0,0.4,12.0,4,26
